,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
UF,Nome_UF,Região Geográfica Intermediária,Nome Região Geográfica Intermediária,Região Geográfica Imediata,Nome Região Geográfica Imediata,Município,Código Município Completo,Nome_Município,Distrito,Código de Distrito Completo,Nome_Distrito,OBS,,Código de Distrito Completo,Nome_Distrito,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,15,1100015,Alta Floresta D'Oeste,5,110001505,Alta Floresta D'Oeste,,VERDADEIRO,110001505,Alta Floresta D'Oeste,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,15,1100015,Alta Floresta D'Oeste,15,110001515,Filadélfia d'Oeste,,VERDADEIRO,110001515,Filadélfia d'Oeste,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,15,1100015,Alta Floresta D'Oeste,20,110001520,Izidolândia,,VERDADEIRO,110001520,Izidolândia,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,15,1100015,Alta Floresta D'Oeste,25,110001525,Nova Gease d'Oeste,,VERDADEIRO,110001525,Nova Gease d'Oeste,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,15,1100015,Alta Floresta D'Oeste,30,110001530,Rolim de Moura do Guaporé,,VERDADEIRO,110001530,Rolim de Moura do Guaporé,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,15,1100015,Alta Floresta D'Oeste,35,110001535,Santo Antônio d'Oeste,,VERDADEIRO,110001535,Santo Antônio d'Oeste,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,379,1100379,Alto Alegre dos Parecis,5,110037905,Alto Alegre dos Parecis,,VERDADEIRO,110037905,Alto Alegre dos Parecis,,,,,,,,,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,403,1100403,Alto Paraíso,5,110040305,Alto Paraíso,,VERDADEIRO,110040305,Alto Paraíso,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,346,1100346,Alvorada D'Oeste,5,110034605,Alvorada D'Oeste,,VERDADEIRO,110034605,Alvorada D'Oeste,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,346,1100346,Alvorada D'Oeste,25,110034625,Tancredópolis,,VERDADEIRO,110034625,Tancredópolis,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110004,Ji-Paraná,346,1100346,Alvorada D'Oeste,30,110034630,Terra Boa,,VERDADEIRO,110034630,Terra Boa,,,,,,,,,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,23,1100023,Ariquemes,5,110002305,Ariquemes,,VERDADEIRO,110002305,Ariquemes,,,,,,,,,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,452,1100452,Buritis,5,110045205,Buritis,,VERDADEIRO,110045205,Buritis,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110006,Vilhena,31,1100031,Cabixi,5,110003105,Cabixi,,VERDADEIRO,110003105,Cabixi,,,,,,,,,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,601,1100601,Cacaulândia,5,110060105,Cacaulândia,,VERDADEIRO,110060105,Cacaulândia,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,49,1100049,Cacoal,5,110004905,Cacoal,,VERDADEIRO,110004905,Cacoal,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,49,1100049,Cacoal,10,110004910,Riozinho,,VERDADEIRO,110004910,Riozinho,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,49,1100049,Cacoal,15,110004915,Divinópolis,,VERDADEIRO,110004915,Divinópolis,,,,,,,,,
11,Rondônia,1101,Porto Velho,110002,Ariquemes,700,1100700,Campo Novo de Rondônia,5,110070005,Campo Novo de Rondônia,,VERDADEIRO,110070005,Campo Novo de Rondônia,,,,,,,,,
11,Rondônia,1101,Porto Velho,110001,Porto Velho,809,1100809,Candeias do Jamari,5,110080905,Candeias do Jamari,,VERDADEIRO,110080905,Candeias do Jamari,,,,,,,,,
11,Rondônia,1101,Porto Velho,110001,Porto Velho,809,1100809,Candeias do Jamari,20,110080920,Rio Preto do Candeias,,VERDADEIRO,110080920,Rio Preto do Candeias,,,,,,,,,
11,Rondônia,1102,Ji-Paraná,110005,Cacoal,908,1100908,Castanheiras,5,110090805,Castanheiras,,VERDADEIRO,110090805,Castanheiras,,,,,,,,,
